PERMNO,date,PRC,RET,SHROUT,RETX,sprtrn
18248,2019-05-14,9.98000,-0.002000,44000,-0.002000,0.008016
18248,2019-05-15,9.95000,-0.003006,44000,-0.003006,0.005839
18248,2019-05-16,10.03000,0.008040,44000,0.008040,0.008895
18248,2019-05-17,9.97000,-0.005982,44000,-0.005982,-0.005837
18248,2019-05-20,9.95000,-0.002006,44000,-0.002006,-0.006749
18248,2019-05-21,-9.99000,0.004020,44000,0.004020,0.008496
18248,2019-05-22,10.00000,0.001001,44000,0.001001,-0.002824
18248,2019-05-23,10.01000,0.001000,44000,0.001000,-0.011914
18248,2019-05-24,10.03000,0.001998,44000,0.001998,0.001354
18248,2019-05-28,10.05000,0.001994,44000,0.001994,-0.008376
18248,2019-05-29,10.03000,-0.001990,44000,-0.001990,-0.006912
18248,2019-05-30,-10.06500,0.003490,44000,0.003490,0.002098
18248,2019-05-31,10.03000,-0.003477,44000,-0.003477,-0.013195
18248,2019-06-03,10.04000,0.000997,44000,0.000997,-0.002765
18248,2019-06-04,10.03000,-0.000996,44000,-0.000996,0.021432
18248,2019-06-05,-10.06000,0.002991,44000,0.002991,0.008162
18248,2019-06-06,10.05000,-0.000994,44000,-0.000994,0.006136
18248,2019-06-07,10.05000,0.000000,44000,0.000000,0.010498
18248,2019-06-10,10.04000,-0.000995,44000,-0.000995,0.004660
18248,2019-06-11,10.04000,0.000000,44000,0.000000,-0.000350
18248,2019-06-12,10.05000,0.000996,44000,0.000996,-0.002038
18248,2019-06-13,10.05000,0.000000,44000,0.000000,0.004097
18248,2019-06-14,10.05000,0.000000,44000,0.000000,-0.001612
18248,2019-06-17,10.08000,0.002985,44000,0.002985,0.000932
18248,2019-06-18,-10.06500,-0.001488,44000,-0.001488,0.009717
18248,2019-06-19,10.09000,0.002484,44000,0.002484,0.002985
18248,2019-06-20,10.05000,-0.003964,44000,-0.003964,0.009472
18248,2019-06-21,10.12000,0.006965,44000,0.006965,-0.001259
18248,2019-06-24,10.24000,0.011858,44000,0.011858,-0.001732
18248,2019-06-25,10.20000,-0.003906,44000,-0.003906,-0.009496
18248,2019-06-26,10.10000,-0.009804,44000,-0.009804,-0.001234
18248,2019-06-27,10.10000,0.000000,44000,0.000000,0.003823
18248,2019-06-28,10.00000,-0.009901,44000,-0.009901,0.005757
18248,2019-07-01,10.00000,0.000000,44000,0.000000,0.007672
18248,2019-07-02,10.05000,0.005000,44000,0.005000,0.002928
18248,2019-07-03,10.10000,0.004975,44000,0.004975,0.007672
18248,2019-07-05,10.10000,0.000000,44000,0.000000,-0.001806
18248,2019-07-08,-10.11000,0.000990,44000,0.000990,-0.004835
18248,2019-07-09,10.14000,0.002967,44000,0.002967,0.001237
18248,2019-07-10,10.12000,-0.001972,44000,-0.001972,0.004511
18248,2019-07-11,-10.11000,-0.000988,44000,-0.000988,0.002285
18248,2019-07-12,-10.07000,-0.003956,44000,-0.003956,0.004620
18248,2019-07-15,-10.07000,0.000000,44000,0.000000,0.000176
18248,2019-07-16,-10.07500,0.000497,44000,0.000497,-0.003404
18248,2019-07-17,-10.07000,-0.000496,44000,-0.000496,-0.006531
18248,2019-07-18,-10.07000,0.000000,44000,0.000000,0.003582
18248,2019-07-19,-10.07000,0.000000,44000,0.000000,-0.006177
18248,2019-07-22,-10.07000,0.000000,44000,0.000000,0.002829
18248,2019-07-23,10.14000,0.006951,44000,0.006951,0.006848
18248,2019-07-24,10.13000,-0.000986,44000,-0.000986,0.004688
18248,2019-07-25,-10.12000,-0.000987,44000,-0.000987,-0.005262
18248,2019-07-26,10.14000,0.001976,44000,0.001976,0.007388
18248,2019-07-29,10.14000,0.000000,44000,0.000000,-0.001616
18248,2019-07-30,-10.13000,-0.000986,44000,-0.000986,-0.002579
18248,2019-07-31,10.30000,0.016782,44000,0.016782,-0.010886
18248,2019-08-01,10.26500,-0.003398,44000,-0.003398,-0.008999
18248,2019-08-02,10.25000,-0.001461,44000,-0.001461,-0.007283
18248,2019-08-05,10.24000,-0.000976,44000,-0.000976,-0.029778
18248,2019-08-06,10.24000,0.000000,44000,0.000000,0.013017
18248,2019-08-07,10.26000,0.001953,44000,0.001953,0.000767
18248,2019-08-08,10.26000,0.000000,44000,0.000000,0.018762
18248,2019-08-09,-10.26500,0.000487,44000,0.000487,-0.006617
18248,2019-08-12,10.24000,-0.002436,44000,-0.002436,-0.012184
18248,2019-08-13,10.24000,0.000000,44000,0.000000,0.014994
18248,2019-08-14,10.23000,-0.000977,44000,-0.000977,-0.029293
18248,2019-08-15,-10.22000,-0.000977,44000,-0.000977,0.002464
18248,2019-08-16,10.05000,-0.016634,44000,-0.016634,0.014426
18248,2019-08-19,10.23000,0.017910,44000,0.017910,0.012106
18248,2019-08-20,10.24000,0.000978,44000,0.000978,-0.007915
18248,2019-08-21,10.24000,0.000000,44000,0.000000,0.008247
18248,2019-08-22,10.24000,0.000000,44000,0.000000,-0.000506
18248,2019-08-23,10.23000,-0.000977,44000,-0.000977,-0.025946
18248,2019-08-26,10.22000,-0.000977,44000,-0.000977,0.010983
18248,2019-08-27,10.22000,0.000000,44000,0.000000,-0.003203
18248,2019-08-28,10.22000,0.000000,44000,0.000000,0.006545
18248,2019-08-29,10.24000,0.001957,44000,0.001957,0.012687
18248,2019-08-30,10.22000,-0.001953,44000,-0.001953,0.000643
18248,2019-09-03,10.22000,0.000000,44000,0.000000,-0.006899
18248,2019-09-04,10.21000,-0.000978,44000,-0.000978,0.010842
18248,2019-09-05,10.20000,-0.000979,44000,-0.000979,0.013010
18248,2019-09-06,10.18000,-0.001961,44000,-0.001961,0.000911
18248,2019-09-09,10.20500,0.002456,44000,0.002456,-0.000094
18248,2019-09-10,10.22000,0.001470,44000,0.001470,0.000322
18248,2019-09-11,10.18000,-0.003914,44000,-0.003914,0.007230
18248,2019-09-12,10.21000,0.002947,44000,0.002947,0.002879
18248,2019-09-13,-10.21000,0.000000,44000,0.000000,-0.000724
18248,2019-09-16,-10.15000,-0.005877,44000,-0.005877,-0.003136
18248,2019-09-17,10.17000,0.001970,44000,0.001970,0.002582
18248,2019-09-18,10.22000,0.004916,44000,0.004916,0.000343
18248,2019-09-19,-10.18000,-0.003914,44000,-0.003914,0.000020
18248,2019-09-20,10.21000,0.002947,44000,0.002947,-0.004896
18248,2019-09-23,-10.20500,-0.000490,44000,-0.000490,-0.000097
18248,2019-09-24,10.20000,-0.000490,44000,-0.000490,-0.008416
18248,2019-09-25,10.18000,-0.001961,44000,-0.001961,0.006159
18248,2019-09-26,10.22000,0.003929,44000,0.003929,-0.002429
18248,2019-09-27,10.21000,-0.000978,44000,-0.000978,-0.005316
18248,2019-09-30,10.19000,-0.001959,44000,-0.001959,0.005048
18248,2019-10-01,-10.22500,0.003435,44000,0.003435,-0.012258
18248,2019-10-02,-10.22500,0.000000,44000,0.000000,-0.017903
18248,2019-10-03,-10.23000,0.000489,44000,0.000489,0.007972
18248,2019-10-04,10.20000,-0.002933,44000,-0.002933,0.014217
18248,2019-10-07,-10.23000,0.002941,44000,0.002941,-0.004478
18248,2019-10-08,10.18000,-0.004888,44000,-0.004888,-0.015561
18248,2019-10-09,10.22000,0.003929,44000,0.003929,0.009105
18248,2019-10-10,10.20500,-0.001468,44000,-0.001468,0.006416
18248,2019-10-11,10.20000,-0.000490,44000,-0.000490,0.010939
18248,2019-10-14,-10.21000,0.000980,44000,0.000980,-0.001387
18248,2019-10-15,10.20000,-0.000979,44000,-0.000979,0.009956
18248,2019-10-16,10.23500,0.003431,44000,0.003431,-0.002000
18248,2019-10-17,10.25000,0.001466,44000,0.001466,0.002763
18248,2019-10-18,10.25000,0.000000,44000,0.000000,-0.003919
18248,2019-10-21,10.23730,-0.001239,44000,-0.001239,0.006872
18248,2019-10-22,10.21000,-0.002667,44000,-0.002667,-0.003569
18248,2019-10-23,10.19000,-0.001959,44000,-0.001959,0.002847
18248,2019-10-24,10.58000,0.038273,44000,0.038273,0.001920
18248,2019-10-25,10.25000,-0.031191,44000,-0.031191,0.004073
18248,2019-10-28,10.21000,-0.003902,44000,-0.003902,0.005581
18248,2019-10-29,10.28000,0.006856,44000,0.006856,-0.000832
18248,2019-10-30,10.25000,-0.002918,44000,-0.002918,0.003253
18248,2019-10-31,10.23000,-0.001951,44000,-0.001951,-0.003023
18248,2019-11-01,10.22000,-0.000977,44000,-0.000977,0.009662
18248,2019-11-04,-10.23000,0.000978,44000,0.000978,0.003704
18248,2019-11-05,10.27000,0.003910,44000,0.003910,-0.001186
18248,2019-11-06,10.27000,0.000000,44000,0.000000,0.000703
18248,2019-11-07,10.25000,-0.001947,44000,-0.001947,0.002730
18248,2019-11-08,-10.25000,0.000000,44000,0.000000,0.002561
18248,2019-11-11,10.24000,-0.000976,44000,-0.000976,-0.001962
18248,2019-11-12,10.23000,-0.000977,44000,-0.000977,0.001565
18248,2019-11-13,10.20000,-0.002933,44000,-0.002933,0.000712
18248,2019-11-14,10.24000,0.003922,44000,0.003922,0.000837
18248,2019-11-15,-10.20000,-0.003906,44000,-0.003906,0.007695
18248,2019-11-18,10.27000,0.006863,44000,0.006863,0.000503
18248,2019-11-19,10.25000,-0.001947,44000,-0.001947,-0.000593
18248,2019-11-20,10.22000,-0.002927,44000,-0.002927,-0.003756
18248,2019-11-21,10.22000,0.000000,44000,0.000000,-0.001583
18248,2019-11-22,10.25330,0.003258,44000,0.003258,0.002175
18248,2019-11-25,10.19000,-0.006174,44000,-0.006174,0.007507
18248,2019-11-26,10.20000,0.000981,44000,0.000981,0.002196
18248,2019-11-27,-10.23000,0.002941,44000,0.002941,0.004174
18248,2019-11-29,10.20000,-0.002933,44000,-0.002933,-0.004011
18248,2019-12-02,10.26000,0.005882,44000,0.005882,-0.008631
18248,2019-12-03,10.25000,-0.000975,44000,-0.000975,-0.006638
18248,2019-12-04,10.24000,-0.000976,44000,-0.000976,0.006324
18248,2019-12-05,-10.24500,0.000488,44000,0.000488,0.001500
18248,2019-12-06,10.21470,-0.002958,44000,-0.002958,0.009136
18248,2019-12-09,10.22000,0.000519,44000,0.000519,-0.003163
18248,2019-12-10,-10.22500,0.000489,44000,0.000489,-0.001097
18248,2019-12-11,-10.25000,0.002445,44000,0.002445,0.002908
18248,2019-12-12,10.22000,-0.002927,44000,-0.002927,0.008575
18248,2019-12-13,10.22000,0.000000,44000,0.000000,0.000073
18248,2019-12-16,10.28000,0.005871,44000,0.005871,0.007148
18248,2019-12-17,10.29000,0.000973,44000,0.000973,0.000335
18248,2019-12-18,10.27000,-0.001944,44000,-0.001944,-0.000432
18248,2019-12-19,10.31000,0.003895,44000,0.003895,0.004459
18248,2019-12-20,10.29000,-0.001940,44000,-0.001940,0.004945
18248,2019-12-23,10.28000,-0.000972,44000,-0.000972,0.000866
18248,2019-12-24,-10.28500,0.000486,44000,0.000486,-0.000195
18248,2019-12-26,-10.26000,-0.002431,44000,-0.002431,0.005128
18248,2019-12-27,-10.26000,0.000000,44000,0.000000,0.000034
18248,2019-12-30,10.28000,0.001949,44000,0.001949,-0.005781
18248,2019-12-31,-10.29000,0.000973,44000,0.000973,0.002946
18248,2020-01-02,-10.26500,-0.002430,44000,-0.002430,0.008379
18248,2020-01-03,-10.25500,-0.000974,44000,-0.000974,-0.007060
18248,2020-01-06,-10.26500,0.000975,44000,0.000975,0.003533
18248,2020-01-07,-10.27000,0.000487,44000,0.000487,-0.002803
18248,2020-01-08,10.30000,0.002921,44000,0.002921,0.004902
18248,2020-01-09,-10.33000,0.002913,44000,0.002913,0.006655
18248,2020-01-10,10.39000,0.005808,44000,0.005808,-0.002855
18248,2020-01-13,10.40000,0.000962,44000,0.000962,0.006976
18248,2020-01-14,10.45000,0.004808,44000,0.004808,-0.001515
18248,2020-01-15,10.60000,0.014354,44000,0.014354,0.001870
18248,2020-01-16,10.65110,0.004821,44000,0.004821,0.008367
18248,2020-01-17,10.66000,0.000836,44000,0.000836,0.003862
18248,2020-01-21,10.85000,0.017824,44000,0.017824,-0.002652
18248,2020-01-22,10.72270,-0.011733,44000,-0.011733,0.000289
18248,2020-01-23,10.70000,-0.002117,44000,-0.002117,0.001141
18248,2020-01-24,-10.78500,0.007944,44000,0.007944,-0.009042
18248,2020-01-27,10.70000,-0.007881,44000,-0.007881,-0.015731
18248,2020-01-28,10.75000,0.004673,44000,0.004673,0.010054
18248,2020-01-29,-10.81000,0.005581,44000,0.005581,-0.000867
18248,2020-01-30,10.82000,0.000925,44000,0.000925,0.003134
18248,2020-01-31,10.82000,0.000000,44000,0.000000,-0.017706
18248,2020-02-03,10.80000,-0.001848,44000,-0.001848,0.007255
18248,2020-02-04,10.98520,0.017148,44000,0.017148,0.014980
18248,2020-02-05,10.91000,-0.006846,44000,-0.006846,0.011251
18248,2020-02-06,10.90000,-0.000917,44000,-0.000917,0.003326
18248,2020-02-07,10.84650,-0.004908,44000,-0.004908,-0.005401
18248,2020-02-10,10.83000,-0.001521,44000,-0.001521,0.007326
18248,2020-02-11,10.83000,0.000000,44000,0.000000,0.001688
18248,2020-02-12,10.80000,-0.002770,44000,-0.002770,0.006463
18248,2020-02-13,10.73000,-0.006482,44000,-0.006482,-0.001630
18248,2020-02-14,10.75000,0.001864,44000,0.001864,0.001844
18248,2020-02-18,-10.70000,-0.004651,44000,-0.004651,-0.002920
18248,2020-02-19,-10.72500,0.002337,44000,0.002337,0.004706
18248,2020-02-20,10.75000,0.002331,44000,0.002331,-0.003816
18248,2020-02-21,10.75000,0.000000,44000,0.000000,-0.010518
18248,2020-02-24,10.80000,0.004651,44000,0.004651,-0.033514
18248,2020-02-25,10.78000,-0.001852,44000,-0.001852,-0.030280
18248,2020-02-26,10.75000,-0.002783,44000,-0.002783,-0.003779
18248,2020-02-27,-10.74000,-0.000930,44000,-0.000930,-0.044163
18248,2020-02-28,10.67990,-0.005596,44000,-0.005596,-0.008238
18248,2020-03-02,10.80000,0.011245,44000,0.011245,0.046039
18248,2020-03-03,10.85000,0.004630,44000,0.004630,-0.028108
18248,2020-03-04,10.85000,0.000000,44000,0.000000,0.042203
18248,2020-03-05,10.83000,-0.001843,44000,-0.001843,-0.033922
18248,2020-03-06,10.73000,-0.009234,44000,-0.009234,-0.017054
18248,2020-03-09,10.55000,-0.016775,44000,-0.016775,-0.075970
18248,2020-03-10,10.48120,-0.006521,44000,-0.006521,0.049396
